No.,チームNo.,ユニット,会社名,自主点検対象,構成単位,会社管理番号,使用言語,進捗管理フラグ
173,チーム7,フーズユニット,(株)ファームテーブル,○,,110203,JP,○
174,チーム7,フーズユニット,(株)プリンス,○,,110202,JP,○
175,チーム7,フーズユニット,(株)プレシア,○,○,110200,JP,○
176,チーム7,フーズユニット,Asvegetal S.A.,○,,110102,EN,○
177,チーム7,フーズユニット,Ecofroz S.A.,○,○,110103,EN,○
178,チーム7,フーズユニット,エア・ウォーターアグリ＆フーズ(株),○,○,110100,JP,○
179,チーム7,フーズユニット,ヨネザワ製菓(株),○,○,110201,JP,○
180,チーム7,フーズユニット,大山ハム(株),○,○,110101,JP,○
181,チーム7,飲料ユニット ,AWファーム千歳(株),○,,130101,JP,○
182,チーム7,飲料ユニット ,ゴールドパック(株),○,○,130100,JP,○
183,チーム8,インダストリアルガスユニット ,メカトロ・アソシエーツ(株),○,,20100,JP,○
184,チーム8,インダストリアルガスユニット ,エア・ウォーターNV(株),○,○,20200,JP,○
185,チーム8,インダストリアルガスユニット ,エア・ウォーター・エコロッカ(株),○,○,20300,JP,○
186,チーム8,インダストリアルガスユニット ,九州工業ガス(株),○,,20400,JP,○
187,チーム8,インダストリアルガスユニット ,神鋼エア・ウォーター・ガス(株),○,,20500,JP,○
188,チーム8,インダストリアルガスユニット ,神鋼エアーテック(株),○,○,20600,JP,○
189,チーム8,インダストリアルガスユニット ,泉北酸素(株),○,,20700,JP,○
190,チーム8,インダストリアルガスユニット ,日本ヘリウム(株),○,○,20800,JP,○
191,チーム8,インダストリアルガスユニット ,(株)ガスネット,,,20900,JP,
192,チーム8,インダストリアルガスユニット ,(株)クリオ・エアー,,,21000,JP,
193,チーム8,インダストリアルガスユニット ,苫小牧共同酸素(株),,,21100,JP,
194,チーム8,インダストリアルガスユニット ,パナソニックAWエンジニアリング(株),,,21200,JP,
195,チーム8,インダストリアルガスユニット ,北九州オキシトン(株),,,21300,JP,
196,チーム8,インダストリアルガスユニット ,山陽エア・ケミカルズ(株),,,21400,JP,
197,チーム8,インダストリアルガスユニット ,(株)富山エア・サプライ,,,21500,JP,
198,チーム8,インダストリアルガスユニット ,(株)名古屋サンソセンター,,,21600,JP,
199,チーム8,インダストリアルガスユニット ,北海道アセチレン(株),,,21700,JP,
200,チーム8,インダストリアルガスユニット ,室蘭共同発電(株),,,21800,JP,
201,チーム8,インダストリアルガスユニット ,常州?沃特金属表面科技有限公司,○,,20201,EN,○
202,チーム8,インダストリアルガスユニット ,PT. Indonesia Air Water ,○,,20202,EN,○
203,チーム8,インダストリアルガスユニット ,"Air Water Philippines, Inc. ",○,,20203,EN,○
204,チーム8,インダストリアルガスユニット ,"Air Water (Thailand) Co., Ltd. ",○,,20204,EN,○
205,チーム8,インダストリアルガスユニット ,エア・ウォーターMFK(株),○,,20205,JP,○
206,チーム8,エネルギーソリューションユニット,Pacific Petro Import And Export Trading JSC,○,○,50100,EN,○
207,チーム8,カーボンニュートラル推進室 ,エア・ウォーター小名浜バイオマス電力(株),○,○,160100,JP,○
208,チーム8,ガスプロダクツユニット,エア・ウォーター・ガスプロダクツ(株),○,○,30100,JP,○
209,チーム8,ガスプロダクツユニット,ガスプロダクツ・ロジスティクス(株),○,,30101,JP,○
210,チーム8,ガスプロダクツユニット,北九州液酸,○,,30102,JP,○
211,チーム8,ガスプロダクツユニット,しなの液酸,○,,30103,JP,○
212,チーム8,ガスプロダクツユニット,千葉液酸,○,,30104,JP,○
213,チーム8,グリーンイノベーションユニット,K&Oエナジーグループ(株),,,60100,JP,
214,チーム8,グリーンイノベーションユニット,エア・ウォーター・グリーンデザイン(株),○,○,60200,JP,○
215,チーム8,グリーンイノベーションユニット,共同炭酸(株),○,,60201,JP,○
216,チーム8,グリーンイノベーションユニット,㈲前田商事,,,60202,JP,
217,チーム8,グリーンイノベーションユニット,エア・ウォーターK&O(株),○,,60203,JP,○
218,チーム9,デジタルユニット,エア・ウォーター・エレクトロニクス(株),○,○,10100,JP,○
219,チーム9,デジタルユニット,エア・ウォーター・メカトロニクス(株),○,○,10200,JP,○
220,チーム9,デジタルユニット,日本電熱(株),○,○,10300,JP,○
221,チーム9,デジタルユニット,石川ガスセンター(株),,,10500,JP,
222,チーム9,デジタルユニット,エア・ウォーター・パフォーマンスケミカル(株),○,○,10600,JP,○
223,チーム9,デジタルユニット,(株)FILWEL,○,○,10700,JP,○
224,チーム9,デジタルユニット,(株)プリンテック,○,○,10800,JP,○
225,チーム9,デジタルユニット,エア・ウォーター・マッハ(株),○,○,10900,JP,○
226,チーム9,デジタルユニット,サンケミカル(株),○,○,10602,JP,○
227,チーム9,デジタルユニット,?沃特裕立化工(江?) 有限公司,○,,10603,EN,○
228,チーム9,デジタルユニット,ATエレクトロード(株),○,,10604,JP,○
229,チーム9,デジタルユニット,台灣愛沃特瑪?股?有限公司,○,,10901,EN,○
230,チーム9,デジタルユニット,?沃特??橡?制品（福建）有限公司,○,,10902,EN,○
231,チーム9,デジタルユニット,Air Water Mach (USA) Inc.,○,,10903,EN,○
232,チーム9,デジタルユニット,?沃特??（大?）有限公司,○,,10904,EN,○
233,チーム9,デジタルユニット,堺ガスセンター,○,,10905,JP,○
234,チーム9,グローバル戦略推進本部,Precision Fabricators Ltd. Llc.,○,○,10400,EN,○
235,チーム9,デジタルユニット,ATNグラファイト・テクノロジー(株),○,,10601,JP,○
236,チーム9,海水ユニット ,(株)日本海水,○,○,140100,JP,○
237,チーム9,海水ユニット ,タテホ化学工業(株),○,○,140200,JP,○
238,チーム9,海水ユニット ,アクアインテック(株),○,○,140101,JP,○
239,チーム9,海水ユニット ,(株)日本海水TTS苅田パワー,○,○,140102,JP,○
240,チーム9,海水ユニット ,サミット小名浜エスパワー(株),,,140103,JP,
241,チーム9,海水ユニット ,(株)九州ソルト,,,140104,JP,
242,チーム9,海水ユニット ,大??泰豪化学有限公司,○,,140201,EN,○
243,チーム9,海水ユニット ,"Tateho Ozark Technical Ceramics, Inc.",○,○,140202,EN,○
244,チーム9,海水ユニット ,H.T.C. S.R.L.,○,,140203,EN,○
245,チーム9,海水ユニット ,Redco S.R.L.,○,,140204,EN,○
246,チーム10,ＡＩ・ＤＸ推進室,エア・ウォーター・デジタル(株),○,,190100,JP,○
247,チーム10,ＡＩ・ＤＸ推進室,(株)PTX,○,,190200,JP,○
248,チーム10,法務・ガバナンス室 ,エア・ウォーター・サービス(株),○,,200100,JP,○
249,チーム10,物流改革推進室 ,エア・ウォーター物流(株),○,○,180100,JP,○
250,チーム10,物流改革推進室 ,エア・ウォーターLINE(株),○,○,180101,JP,○
251,チーム10,物流改革推進室 ,(株)アシスト,○,,180102,JP,○
252,チーム10,物流改革推進室 ,荻野配送(株),○,,180103,JP,○
253,チーム10,物流改革推進室 ,北海道車体(株),○,○,180104,JP,○
254,チーム10,物流改革推進室 ,(株)リプロワーク,○,,180105,JP,○
255,チーム10,物流改革推進室 ,(株)札幌流通加工サービス,○,,180106,JP,○
256,チーム10,物流改革推進室 ,(株)手野運送,,,180107,JP,
257,チーム7,アグリユニット,トミイチ九州(株),○,,150100,JP,○
258,チーム10,在宅ヘルスケアユニット,エア・ウォーター・リアライズ(株),○,○,70100,JP,○
259,チーム10,在宅ヘルスケアユニット,川本産業(株),○,○,70200,JP,○
260,チーム10,在宅ヘルスケアユニット,浙江川本?生材料有限公司,○,,70201,JP,○
261,チーム10,在宅ヘルスケアユニット,"Kurosu Hanam Co., Ltd",○,,70202,EN,○
262,チーム10,在宅ヘルスケアユニット,クロス工業(株),○,,70203,JP,○
263,チーム10,在宅ヘルスケアユニット,(株)サカキL&Eワイズ,○,,70204,JP,○
264,チーム10,メディカルプロダクツユニット ,エア・ウォーター・メディカル(株),○,○,80100,JP,○
265,チーム10,メディカルプロダクツユニット ,エア・ウォーター・メディエイチ(株),○,○,80200,JP,○
266,チーム10,メディカルプロダクツユニット ,エア・ウォーター・リンク(株),○,○,80300,JP,○
267,チーム10,メディカルプロダクツユニット ,エムシーサービス(株),○,,80400,JP,○
268,チーム10,メディカルプロダクツユニット ,エア・ウォーター・バイオデザイン(株),○,,80500,JP,○
269,チーム10,メディカルプロダクツユニット ,エア・ウォーターBD(株)(解散中),○,,80600,JP,○
270,チーム10,メディカルプロダクツユニット ,湖北?沃特医?气体有限公司,○,,80700,EN,○
271,チーム10,メディカルプロダクツユニット ,エア・ウォーター・アエラスバイオ（株）,○,,80800,JP,○
272,チーム10,メディカルプロダクツユニット ,(株)リモハブ,○,,80900,JP,○
273,チーム10,メディカルプロダクツユニット ,(株)アイム,,,81000,JP,
274,チーム1,デンタルケアユニット,(株)グローバルナイン,○,,100220,JP,○
